fecha,lat,lon,evento
12/14/2018 2:05:00,-31.437927,-64.501183,Lluvias intensas
12/13/2018 22:00:00,-31.617526,-64.876243,Lluvias intensas
12/13/2018 21:00:00,-31.5284666,-63.977312,Rayos y/o truenos
12/14/2018 0:00:00,-31.5284666,-63.977312,Rayos y/o truenos
12/14/2018 0:23:00,-34.55,-58.466667,Rayos y/o truenos
12/13/2018 0:00:00,-33.1243872,-64.41223,Rayos y/o truenos
12/14/2018 1:37:00,-31.344501,-64.370511,Lluvias intensas
12/14/2018 1:37:00,,,Lluvias intensas
12/13/2018 23:00:00,-34.6157437,-58.5733832,Rayos y/o truenos
12/13/2018 23:56:00,-32.0247923,-64.201582,Rayos y/o truenos
12/13/2018 10:18:00,-31.366349,-64.181043,Lluvias intensas
12/14/2018 0:17:00,-32.18598,-64.569693,Granizo
12/14/2018 3:14:00,-31.423182,-62.128249,Lluvias intensas
12/13/2018 12:17:00,-34.790609,-58.897479,Lluvias intensas
12/13/2018 23:30:00,-34.6157437,-58.5733832,Rayos y/o truenos
12/13/2018 19:30:00,-33.05,-65.616667,Granizo
12/14/2018 0:48:00,-34.6653,-58.7275,Rayos y/o truenos
12/13/2018 22:00:00,-32.066667,-64.533333,Granizo
12/13/2018 17:00:00,-31.714444,-55.982778,Granizo
12/14/2018 21:38:00,-25.79434,-66.056165,Rayos y/o truenos
12/13/2018 12:50:00,-34.89698,-60.019073,Lluvias intensas
12/14/2018 2:00:00,-31.100675,-60.109282,Ráfagas y/o vientos intensos
12/14/2018 2:00:00,-31.416703,-60.348324,Ráfagas y/o vientos intensos
12/14/2018 2:00:00,-31.194265,-60.168875,Ráfagas y/o vientos intensos
12/13/2018 22:22:00,-33.124243,-64.412231,Lluvias intensas
12/13/2018 10:30:00,-32.951937,-60.838248,Rayos y/o truenos
12/13/2018 23:20:00,-32.201135,-65.151839,Rayos y/o truenos
12/13/2018 23:55:00,-32.234562,-64.519105,Granizo
12/13/2018 23:55:00,-32.252275,-64.479965,Granizo
12/13/2018 23:55:00,-32.31947,-64.272904,Granizo
12/14/2018 0:00:00,-32.170446,-64.193388,Lluvias intensas
12/14/2018 1:37:00,-31.344501,-64.370425,Lluvias intensas
12/13/2018 23:59:00,-34.958478,-57.952942,Lluvias intensas
12/14/2018 11:32:00,-34.958478,-57.952942,Lluvias intensas
12/14/2018 1:30:00,-31.423109,-62.128249,Rayos y/o truenos
12/11/2018 12:34:00,-33.008011,-58.618474,Ráfagas y/o vientos intensos
12/11/2018 2:00:00,-33.689407,-59.700286,Lluvias intensas
12/14/2018 2:00:00,-31.423109,-62.128249,Ráfagas y/o vientos intensos
12/14/2018 2:00:00,-32.265703,-61.922127,Lluvias intensas
12/13/2018 23:28:00,-32.18598,-64.569693,Granizo
12/14/2018 2:00:00,-33.022838,-60.656861,Ráfagas y/o vientos intensos
12/14/2018 3:00:00,-31.747153,-60.585005,Ráfagas y/o vientos intensos
12/14/2018 1:12:00,-32.951937,-60.838248,Lluvias intensas
12/14/2018 2:00:00,-32.65896,-62.315178,Ráfagas y/o vientos intensos
12/14/2018 3:00:00,-31.858627,-59.102386,Ráfagas y/o vientos intensos
12/14/2018 2:00:00,-31.435813,-62.095024,Ráfagas y/o vientos intensos
12/14/2018 1:54:00,-32.920569,-60.886929,Lluvias intensas
12/14/2018 1:00:00,-33.893481,-60.635471,Ráfagas y/o vientos intensos
12/17/2018 3:00:00,-33.144579,-59.349873,Rayos y/o truenos
12/17/2018 4:21:00,-34.840203,-64.390699,Ráfagas y/o vientos intensos
12/17/2018 3:00:00,-34.837935,-64.58459,Ráfagas y/o vientos intensos
12/17/2018 5:39:00,-34.711096,-58.406527,Lluvias intensas
12/17/2018 5:36:00,-31.441887,-64.506266,Rayos y/o truenos
12/17/2018 4:00:00,-33.179251,-68.63294,Granizo
12/17/2018 12:41:00,-34.724225,-58.28174,Lluvias intensas
12/17/2018 3:00:00,-32.473599,-58.340074,Ráfagas y/o vientos intensos
12/17/2018 3:00:00,-32.66708,-58.443899,Ráfagas y/o vientos intensos
12/17/2018 1:30:00,-35.041046,-64.263142,Ráfagas y/o vientos intensos
12/17/2018 12:00:00,-34.764871,-58.489883,Lluvias intensas
12/17/2018 12:00:00,-34.661076,-58.366974,Lluvias intensas
12/17/2018 12:00:00,-34.795532,-58.305739,Lluvias intensas
12/17/2018 12:00:00,-34.727082,-58.35235,Lluvias intensas
12/17/2018 17:30:00,-31.550379,-61.094253,Lluvias intensas
12/17/2018 12:32:00,-34.724225,-58.28174,Lluvias intensas
12/18/2018 10:00:00,-34.566937,-59.186582,Lluvias intensas
12/18/2018 10:00:00,-28.76212,-60.108551,Lluvias intensas
12/17/2018 5:54:00,-34.636421,-58.863962,Lluvias intensas
12/17/2018 2:00:00,-34.899907,-58.01563,Ráfagas y/o vientos intensos
12/17/2018 7:12:00,-34.298617,-60.277849,Ráfagas y/o vientos intensos
12/17/2018 7:12:00,,,Ráfagas y/o vientos intensos
12/17/2018 7:23:00,-34.890139,-60.095395,Ráfagas y/o vientos intensos
12/17/2018 8:12:00,-34.590672,-61.025472,Ráfagas y/o vientos intensos
12/17/2018 8:24:00,-34.493243,-59.056998,Lluvias intensas
12/17/2018 8:46:00,-35.02267,-58.460901,Lluvias intensas
12/17/2018 5:00:00,-34.827799,-57.983381,Lluvias intensas
12/17/2018 4:00:00,-34.916753,-57.990094,Ráfagas y/o vientos intensos
12/17/2018 9:41:00,-34.575093,-58.468004,Lluvias intensas
12/17/2018 10:26:00,-34.679319,-58.479965,Ráfagas y/o vientos intensos
12/17/2018 9:00:00,-34.590672,-61.025472,Lluvias intensas
12/17/2018 13:20:00,-34.894606,-57.930248,Ráfagas y/o vientos intensos
12/17/2018 16:00:00,-34.735005,-58.500745,Lluvias intensas
12/17/2018 10:30:00,-35.266432,-59.650633,Lluvias intensas
12/17/2018 10:30:00,-35.266432,-59.650633,Ráfagas y/o vientos intensos
12/20/2018 0:09:00,-33.145737,-68.498763,Granizo
12/20/2018 17:39:00,-31.399344,-64.334431,Lluvias intensas
12/19/2018 23:50:00,-32.896111,-68.4433,Granizo
12/20/2018 5:15:00,-32.746207,-61.835721,Lluvias intensas
12/20/2018 12:50:00,-35.515584,-58.357484,Lluvias intensas
12/20/2018 14:57:00,-34.762761,-58.405322,Lluvias intensas
12/20/2018 15:23:00,-34.702165,-58.460278,Granizo
12/20/2018 15:22:00,-34.721907,-58.41592,Lluvias intensas
12/20/2018 16:42:00,-34.759336,-58.401878,Lluvias intensas
12/20/2018 16:26:00,-34.887408,-58.416186,Lluvias intensas
12/20/2018 16:49:00,-34.74276,-58.400243,Lluvias intensas
12/20/2018 16:55:00,-33.008155,-58.618473,Lluvias intensas
12/20/2018 17:03:00,-32.35092,-65.025301,Lluvias intensas
12/20/2018 17:33:00,-34.687953,-58.598915,Lluvias intensas
12/20/2018 17:13:00,-32.077224,-64.57482,Granizo
12/20/2018 16:30:00,-27.396292,-55.994557,Ráfagas y/o vientos intensos
12/20/2018 20:10:00,-34.596379,-58.476288,Lluvias intensas
12/20/2018 16:00:00,-34.615744,-58.573385,Lluvias intensas
12/20/2018 19:45:00,-34.560191,-58.483823,Lluvias intensas
12/20/2018 22:12:00,-27.454983,-55.896709,Ráfagas y/o vientos intensos
12/20/2018 15:46:00,-34.702165,-58.460278,Lluvias intensas
12/21/2018 9:09:00,-37.26841,-57.021249,Lluvias intensas
12/21/2018 8:39:00,-26.820054,-54.965523,Granizo
12/21/2018 8:15:00,-26.991827,-65.460907,Lluvias intensas
12/21/2018 3:48:00,-26.832842,-65.292635,Lluvias intensas
12/20/2018 18:44:00,-34.765593,-58.415259,Lluvias intensas
12/21/2018 17:18:00,-23.607293,-65.404091,Lluvias intensas
12/20/2018 17:05:00,-34.779774,-58.330005,Lluvias intensas
12/25/2018 20:55:00,-32.928818,-68.884726,Lluvias intensas
12/25/2018 22:18:00,-33.192073,-68.628009,Rayos y/o truenos
